ID,label
1453,4
655,1
1178,1
548,4
1547,1
1712,1
1685,2
1095,4
138,4
754,2
1048,2
1851,4
765,2
234,0
1192,0
337,2
1360,1
955,1
704,2
1956,1
1872,1
1704,4
2008,4
1476,1
1878,2
756,2
651,1
1354,1
596,1
7,0
341,1
85,3
977,4
1837,2
184,1
2160,0
1377,2
1637,3
811,3
1624,1
203,1
112,4
1307,2
928,1
706,1
683,2
1401,2
976,1
1294,1
465,1
1198,1
943,4
1390,2
1523,1
1997,1
1045,1
131,4
1839,2
1763,1
187,1
1313,1
1696,1
979,4
789,4
939,2
1278,0
1874,1
466,1
1382,1
2118,2
22,4
1323,1
840,4
1469,1
296,1
1912,1
1470,1
1089,4
899,1
1205,1
975,4
763,2
2148,1
1568,4
1413,4
405,4
1012,1
263,4
1780,4
625,1
910,1
1006,1
152,1
1831,2
424,1
2178,2
1518,1
1571,1
1522,2
2025,4
1749,1
1865,1
1328,4
1231,2
2244,1
1258,1
649,1
76,1
718,2
866,1
110,1
192,1
343,1
961,1
1166,1
923,2
1482,2
2051,2
1097,2
697,1
2137,2
1029,2
1969,2
1855,4
1790,2
1305,1
1436,4
554,1
784,4
1824,4
486,4
2054,1
1765,2
111,4
1113,2
659,2
522,4
1191,1
2174,2
83,1
820,2
1730,1
93,4
530,0
1264,2
9,1
1801,4
133,2
2207,2
2107,2
165,1
906,1
1387,4
415,4
2114,4
1220,1
1991,1
328,1
1953,3
729,4
2080,1
1269,2
1954,1
1601,2
983,2
2071,1
2090,4
1067,1
1190,1
171,2
1493,2
1441,2
1091,2
50,2
1785,4
1416,4
1356,3
518,1
978,1
397,4
441,2
1333,1
1549,4
1055,2
1165,1
964,1
1829,1
990,1
1980,0
577,4
425,4
1509,2
228,1
1728,1
665,4
1176,1
1840,1
382,1
1289,0
941,0
452,1
1168,1
2203,2
139,2
81,3
717,2
1807,1
812,1
448,4
1466,4
722,1
307,2
693,4
14,2
2125,2
1922,0
44,2
950,2
924,1
470,4
1746,1
493,1
2217,2
1733,1
500,4
157,1
1802,2
620,4
1844,1
388,4
461,2
590,2
1782,1
796,1
609,1
136,2
1079,1
1334,1
445,2
800,1
1970,2
865,1
1281,2
1324,2
568,1
1856,1
826,2
407,2
1825,4
193,2
674,2
1722,1
2205,4
21,2
1602,1
255,1
1963,4
2000,4
1635,1
1243,2
1585,4
230,2
113,4
2101,1
1798,4
1061,2
287,4
242,1
1170,2
252,1
926,1
457,4
868,2
290,2
698,1
1158,1
1935,1
725,1
992,4
1260,4
985,1
1702,1
2141,2
297,1
1455,1
1587,1
31,2
1672,0
618,1
1842,1
1457,1
636,1
1989,2
1203,1
2180,1
1137,3
1403,2
606,1
1451,2
43,1
2204,2
531,2
41,2
320,1
845,4
1025,1
2106,1
2145,2
105,4
1052,0
856,2
616,4
1359,2
99,1
1297,2
494,4
1077,1
757,4
1299,1
144,1
1682,4
223,1
1661,1
59,1
1348,0
79,2
1830,1
1695,0
125,2
1418,2
78,4
102,4
1890,4
1157,0
1314,2
151,1
11,1
515,1
1075,4
1708,1
1038,1
1791,1
1521,4
159,2
286,1
712,1
541,2
937,2
2212,2
2001,1
963,4
1630,1
369,4
1372,2
1939,1
2026,1
1942,4
512,4
2183,1
896,0
1692,4
1822,2
779,1
589,2
2152,0
1542,1
2060,1
662,1
764,2
256,4
876,1
1947,4
660,4
1680,4
1462,4
1123,1
1011,1
613,1
1251,4
936,1
1581,2
130,1
2169,2
1486,2
1487,2
1899,1
1959,2
1814,2
162,1
848,2
528,1
2040,4
1173,1
20,1
288,1
1905,4
1057,1
1316,2
1888,4
186,2
2149,1
1450,4
1962,1
1582,2
1821,1
995,2
1770,1
1908,4
277,4
2108,1
1365,1
1853,2
1667,2
1364,1
1701,2
278,1
1575,1
2021,1
1024,1
1978,4
1065,1
1498,2
1596,1
1431,1
56,2
62,4
884,4
495,4
2096,4
1485,4
1633,2
657,4
607,2
1207,4
2147,4
748,4
1543,1
2007,2
1889,1
549,1
1187,1
2039,2
272,1
2171,4
807,0
1753,2
1072,1
1250,3
1664,1
